#separator:tab
#html:false
kanelbull/e -en -ar	Zimtschnecke
Zimtschnecke	kanelbull/e -en -ar
läsk -en --	Limonade
Limonade	läsk -en --
baguette med skinka och tomater	Baguette mit Schinken und Tomaten
Baguette mit Schinken und Tomaten	baguette med skinka och tomater
baguette -n -r	Baguette
Baguette	baguette -n -r
ostfrall/a -an -or	Käsebrötchen
Käsebrötchen	ostfrall/a -an -or
kopp -en -ar	Tasse
Tasse	kopp -en -ar
kaffe -t	Kaffee
Kaffee	kaffe -t
chokladmuffins -en --	Schokoladenmuffin
Schokoladenmuffin	chokladmuffins -en --
bjud/a -er	einladen
einladen	bjud/a -er
bjuda på	zu etwas einladen
zu etwas einladen	bjuda på
samtal -et --	Gespräch
Gespräch	samtal -et --
skola, ska	Hier: wollen
Hier: wollen	skola, ska
Ska vi äta?	Wollen wir essen?
Wollen wir essen?	Ska vi äta?
ät/a, -er	essen
essen	ät/a, -er
matsäck, -en, -ar	Proviant
Proviant	matsäck, -en, -ar
med	mit
mit	med
mig	mich, mir
mich, mir	mig
hungrig	hungrig
hungrig	hungrig
Jag är hungrig.	Ich bin hungrig.
Ich bin hungrig.	Jag är hungrig.
vilja, vill	wollen
wollen	vilja, vill
smörgås, -en, -ar	belegtes Brot
belegtes Brot	smörgås, -en, -ar
frall/a, -n, -or	Brötchen
Brötchen	frall/a, -n, -or
En macka är alltid gott.	Ein Butterbrot schmeckt immer gut.
Ein Butterbrot schmeckt immer gut.	En macka är alltid gott.
alltid	immer
immer	alltid
ta, -r	nehmen
nehmen	ta, -r
drick/a, -er	trinken
trinken	drick/a, -er
Ja, tack.	Ja, bitten.
Ja, bitten.	Ja, tack.
Och något till?	Und etwas dazu?
Und etwas dazu?	Och något till?
kanske	vielleicht
vielleicht	kanske
Nej, tack.	Nein, danke.
Nein, danke.	Nej, tack.
Det är bra.	Das ist alles.
Das ist alles.	Det är bra.
Det är jättegott.	Es schmeckt sehr gut.
Es schmeckt sehr gut.	Det är jättegott.
Det smakar bre med mat nu.	Jetzt könnte ich etwas [zu Essen] vertragen
Jetzt könnte ich etwas [zu Essen] vertragen	Det smakar bre med mat nu.
smaka, -r	schmecken
schmecken	smaka, -r
mat, -en	Essen
Essen	mat, -en
nu	jetzt
jetzt	nu
stäm/ma, -mer	stimmen
stimmen	stäm/ma, -mer
mer	mehr
mehr	mer
javisst	ja sicher
ja sicher	javisst
livsmed/el, -let, --	Lebensmittel
Lebensmittel	livsmed/el, -let, --
god, gott	gut/lecker
gut/lecker	god, gott
nyttig, -t	gesund/nützlich
gesund/nützlich	nyttig, -t
saft, -en, -er	Saft/Sirup
Saft/Sirup	saft, -en, -er
bull/e, -en, -ar	Stück Gebäck, Schnecke, Semmel
Stück Gebäck, Schnecke, Semmel	bull/e, -en, -ar
fika, -t	Kaffetrinken
Kaffetrinken	fika, -t
lunch, -en, -er	Mittegessen
Mittegessen	lunch, -en, -er
bety/da, -der	bedeuten
